Symbol,Metric,Numbers
ULTRACEMCO,Market Cap,340077
ULTRACEMCO,Current Price,11780
ULTRACEMCO,High / Low,12078
ULTRACEMCO,Stock P/E,49.2
ULTRACEMCO,Book Value,2047
ULTRACEMCO,Dividend Yield,0.60
ULTRACEMCO,ROCE,15.5
ULTRACEMCO,ROE,12.2
ULTRACEMCO,Face Value,10.0
TITAN,Market Cap,337599
TITAN,Current Price,3803
TITAN,High / Low,3887
TITAN,Stock P/E,95.4
TITAN,Book Value,163
TITAN,Dividend Yield,0.29
TITAN,ROCE,21.7
TITAN,ROE,26.8
TITAN,Face Value,1.00
TCS,Market Cap,1548903
TCS,Current Price,4281
TCS,High / Low,4592
TCS,Stock P/E,33.7
TCS,Book Value,199
TCS,Dividend Yield,1.28
TCS,ROCE,74.8
TCS,ROE,60.4
TCS,Face Value,1.00
SRF,Market Cap,71435
SRF,Current Price,2410
SRF,High / Low,2697
SRF,Stock P/E,56.8
SRF,Book Value,355
SRF,Dividend Yield,0.30
SRF,ROCE,14.6
SRF,ROE,13.9
SRF,Face Value,10.0
SCHAEFFLER,Market Cap,60082
SCHAEFFLER,Current Price,3844
SCHAEFFLER,High / Low,4951
SCHAEFFLER,Stock P/E,64.1
SCHAEFFLER,Book Value,313
SCHAEFFLER,Dividend Yield,0.68
SCHAEFFLER,ROCE,26.7
SCHAEFFLER,ROE,20.0
SCHAEFFLER,Face Value,2.00
RELIANCE,Market Cap,2015875
RELIANCE,Current Price,2980
RELIANCE,High / Low,3218
RELIANCE,Stock P/E,50.3
RELIANCE,Book Value,761
RELIANCE,Dividend Yield,0.34
RELIANCE,ROCE,9.60
RELIANCE,ROE,8.42
RELIANCE,Face Value,10.0
KOTAKBANK,Market Cap,375944
KOTAKBANK,Current Price,1891
KOTAKBANK,High / Low,1926
KOTAKBANK,Stock P/E,27.0
KOTAKBANK,Book Value,487
KOTAKBANK,Dividend Yield,0.11
KOTAKBANK,ROCE,7.24
KOTAKBANK,ROE,15.3
KOTAKBANK,Face Value,5.00
HDFCBANK,Market Cap,1317395
HDFCBANK,Current Price,1727
HDFCBANK,High / Low,1794
HDFCBANK,Stock P/E,20.3
HDFCBANK,Book Value,580
HDFCBANK,Dividend Yield,1.14
HDFCBANK,ROCE,7.54
HDFCBANK,ROE,16.9
HDFCBANK,Face Value,1.00
EICHERMOT,Market Cap,137023
EICHERMOT,Current Price,5000
EICHERMOT,High / Low,5059
EICHERMOT,Stock P/E,34.9
EICHERMOT,Book Value,573
EICHERMOT,Dividend Yield,1.04
EICHERMOT,ROCE,34.5
EICHERMOT,ROE,26.2
EICHERMOT,Face Value,1.00
DRREDDY,Market Cap,109109
DRREDDY,Current Price,6539
DRREDDY,High / Low,7107
DRREDDY,Stock P/E,26.4
DRREDDY,Book Value,1453
DRREDDY,Dividend Yield,0.62
DRREDDY,ROCE,25.2
DRREDDY,ROE,19.2
DRREDDY,Face Value,5.00
DIVISLAB,Market Cap,145475
DIVISLAB,Current Price,5480
DIVISLAB,High / Low,5560
DIVISLAB,Stock P/E,87.6
DIVISLAB,Book Value,508
DIVISLAB,Dividend Yield,0.55
DIVISLAB,ROCE,16.3
DIVISLAB,ROE,12.0
DIVISLAB,Face Value,2.00
TATAELXSI,Market Cap,47817
TATAELXSI,Current Price,7678
TATAELXSI,High / Low,9200
TATAELXSI,Stock P/E,60.6
TATAELXSI,Book Value,402
TATAELXSI,Dividend Yield,0.91
TATAELXSI,ROCE,42.7
TATAELXSI,ROE,34.5
TATAELXSI,Face Value,10.0
M&M,Market Cap,361780
M&M,Current Price,2909
M&M,High / Low,3014
M&M,Stock P/E,34.0
M&M,Book Value,420
M&M,Dividend Yield,0.74
M&M,ROCE,26.5
M&M,ROE,22.4
M&M,Face Value,5.00
INFY,Market Cap,791254
INFY,Current Price,1906
INFY,High / Low,1976
INFY,Stock P/E,29.2
INFY,Book Value,182
INFY,Dividend Yield,2.01
INFY,ROCE,46.2
INFY,ROE,36.6
INFY,Face Value,5.00
HINDUNILVR,Market Cap,691109
HINDUNILVR,Current Price,2941
HINDUNILVR,High / Low,2963
HINDUNILVR,Stock P/E,67.4
HINDUNILVR,Book Value,217
HINDUNILVR,Dividend Yield,1.44
HINDUNILVR,ROCE,27.2
HINDUNILVR,ROE,20.1
HINDUNILVR,Face Value,1.00
CDSL,Market Cap,32243
CDSL,Current Price,1543
CDSL,High / Low,1664
CDSL,Stock P/E,85.7
CDSL,Book Value,55.5
CDSL,Dividend Yield,0.60
CDSL,ROCE,44.5
CDSL,ROE,34.2
CDSL,Face Value,10.0
